"",Mo,Di,,Mi,,Do,,Fr,
8:00-9:30,,,,,,,,,
1,,,,,,,,,
"",PPA_VL,DMA-A,,,,,,,
"",Wagner,Riedl,,,,,,,
9:45-11:15,,,,,,,,,
"",EMI212,MBUT319,,,,,,,
2,,,,,,,,,
"",,,,,,,DF,,DF
"",,,,,,OA-A,,,
"",,,,,,,Becker-Stoll,,Cordes
"",,,,,,Hösl,,,
11:30-13:00,,,,,,,MBUT319,,MBUT319
"",,,,,,MBUT319,,,
"",,,,,,,Termine n. Abspr.,,
"",MAS,,,,,,,,
3,Riedl,,,,,,,,
"",MBUT319,,,,,,,,
"",,WIMA,,EPF,,,,,
"",,Riedl,,Hommel,,,,,
13:45-15:15,,,,,,,,,
"",,MBUT319,,MBUT319,,,,,
4,,,,,,,,,
"",,,,,,MDA,,,
"",,,,,,Altieri,,,
15:30-17:00,,,,,,,,,
"",,,,,,MBUT319,,,
5,,,,,,,,,
17:15-18:45,,,,,,,,,
"",,,PUM,,PUM,,,,
6,,,Winkler,,Brittner,,,,
"",,,MBUT319,,MBUT319,,,,
19:00-20:30,,,,,,,,,
7,,,,,,,,,
